"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"47",6,"Tyler Lockett",SEA,"WR22","33","86","50.0","7.9"
"48",6,"Adam Thielen",MIN,"WR23","32","101","52.3","11.6"
"49",6,"T.J. Hockenson",DET,"TE4","26","127","52.7","9.4"
"50",6,"Myles Gaskin",MIA,"RB21","30","115","52.9","9.0"
"51",6,"Josh Jacobs",LV,"RB22","23","85","53.4","8.2"
"52",6,"Lamar Jackson",BAL,"QB3","19","97","53.6","12.1"
"53",6,"Kenny Golladay",NYG,"WR24","30","129","54.0","10.3"
"54",6,"Kyler Murray",ARI,"QB4","19","95","54.2","7.7"
"55",6,"Mike Davis",ATL,"RB23","28","257","55.0","13.6"
"56",6,"Mark Andrews",BAL,"TE5","26","106","55.6","7.7"
"57",6,"Dak Prescott",DAL,"QB5","19","91","57.9","8.8"
"58",6,"Kyle Pitts",ATL,"TE6","17","108","59.3","17.5"
"59",6,"Tee Higgins",CIN,"WR25","29","88","59.7","9.9"
"60",6,"Travis Etienne",JAC,"RB24","10","259","59.8","25.4"
"61",6,"Kareem Hunt",CLE,"RB25","42","85","60.2","8.9"
"62",6,"Brandon Aiyuk",SF,"WR26","37","90","60.8","10.7"
"63",6,"JuJu Smith-Schuster",PIT,"WR27","48","136","65.7","13.3"
"64",6,"Courtland Sutton",DEN,"WR28","20","147","68.3","10.9"
"65",6,"Odell Beckham Jr.",CLE,"WR29","45","107","68.5","11.3"
"66",7,"Russell Wilson",SEA,"QB6","54","114","69.7","6.4"
"67",7,"Chase Edmonds",ARI,"RB26","24","122","70.2","14.8"
"68",7,"Ja'Marr Chase",CIN,"WR30","12","226","63.1","22.6"
"69",7,"D.J. Chark Jr.",JAC,"WR31","45","111","72.4","11.2"
"70",7,"Chase Claypool",PIT,"WR32","41","99","72.8","9.3"
"71",7,"Robby Anderson",CAR,"WR33","33","149","73.2","11.2"
"72",7,"Justin Herbert",LAC,"QB7","54","117","75.7","9.8"
"73",7,"Tyler Boyd",CIN,"WR34","49","137","76.3","11.0"
"74",7,"Dallas Goedert",PHI,"TE7","53","173","77.3","15.8"
